"stimulus","rt","response","phase","word","carrier","block","wordAccent","wordAccentStep","carrierAccent","carrierAccentStep","option_0","option_1","sound","trial_index","time_elapsed","participantID","answer"
"<h1>どちらの単語が聞こえましたか</h1>","654","1","iden_exp","hana","deta","1","A","9","U","11","hanaA","hanaA","hanaA09-detaU11","192","25","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","525","0","iden_exp","hana","deta","1","U","11","A","9","hanaU","hanaU","hanaU11-detaA09","194","26","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","560","0","iden_exp","hana","deta","1","A","6","A","11","hanaA","hanaU","hanaA06-detaA11","196","26","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","1052","0","iden_exp","hana","deta","1","U","11","U","11","hanaU","hanaU","hanaU11-detaU11","198","26","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","649","1","iden_exp","hana","deta","1","A","5","A","9","hanaA","hanaU","hanaA05-detaA09","200","26","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","586","1","iden_exp","hana","deta","1","U","5","U","5","hanaU","hanaU","hanaU05-detaU05","202","27","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","598","1","iden_exp","hana","deta","1","A","6","A","1","hanaA","hanaU","hanaA06-detaA01","204","27","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","501","0","iden_exp","hana","deta","1","A","6","A","9","hanaA","hanaU","hanaA06-detaA09","206","27","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","662","1","iden_exp","hana","deta","1","U","7","A","6","hanaU","hanaU","hanaU07-detaA06","208","27","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","567","0","iden_exp","hana","deta","1","U","3","A","5","hanaU","hanaU","hanaU03-detaA05","210","28","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","845","0","iden_exp","hana","deta","1","U","3","A","1","hanaU","hanaU","hanaU03-detaA01","212","28","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","524","0","iden_exp","hana","deta","1","U","3","U","6","hanaU","hanaU","hanaU03-detaU06","214","28","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","584","1","iden_exp","hana","deta","1","A","11","A","3","hanaA","hanaU","hanaA11-detaA03","216","29","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","650","1","iden_exp","hana","deta","1","A","1","U","5","hanaA","hanaA","hanaA01-detaU05","218","29","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","527","1","iden_exp","hana","deta","1","U","11","U","7","hanaU","hanaU","hanaU11-detaU07","220","29","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","743","1","iden_exp","hana","deta","1","A","9","A","1","hanaA","hanaU","hanaA09-detaA01","222","30","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","429","1","iden_exp","hana","deta","1","U","5","U","11","hanaU","hanaU","hanaU05-detaU11","224","30","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","789","1","iden_exp","hana","deta","1","A","9","A","5","hanaA","hanaU","hanaA09-detaA05","226","30","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","962","0","iden_exp","hana","deta","1","U","3","U","3","hanaU","hanaU","hanaU03-detaU03","228","30","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","553","1","iden_exp","hana","deta","1","A","11","U","7","hanaA","hanaA","hanaA11-detaU07","230","31","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","612","1","iden_exp","hana","deta","1","A","9","U","1","hanaA","hanaA","hanaA09-detaU01","232","31","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","623","0","iden_exp","hana","deta","1","U","1","A","5","hanaU","hanaU","hanaU01-detaA05","234","31","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","983","0","iden_exp","hana","deta","1","A","5","A","1","hanaA","hanaU","hanaA05-detaA01","236","31","paper took","hanaA"
